"Model","Table","Direct delegate reference files","Files","Interpretation"
"ChartOfAccount","chart_of_accounts","12","src/app/api/v1/accounting-policies/route.ts;src/app/api/v1/chart-of-accounts/route.ts;src/app/api/v1/financial-accounts/route.ts;src/app/api/v1/fixed-asset-categories/route.ts;src/domain/commands/m4/AssetManagement.ts;src/domain/commands/m4/BankReconciliation.ts;src/domain/commands/m4/PostJournalEntry.ts;src/lib/accounting/seedCoa.ts;src/reports/index.ts;tests/unit/journalEntry.test.ts;tests/unit/m6CrmHr.test.ts;tests/unit/postSale.test.ts","Direct references found"
"FinancialAccount","financial_accounts","16","src/app/api/v1/account-transfers/route.ts;src/app/api/v1/advances/route.ts;src/app/api/v1/financial-accounts/route.ts;src/app/api/v1/payments/route.ts;src/domain/commands/m3/Payments.ts;src/domain/commands/m3/PostSale.ts;src/domain/commands/m4/AssetManagement.ts;src/domain/commands/m4/BankReconciliation.ts;src/domain/commands/m4/PostExpense.ts;src/domain/commands/m5/PostCourierCodSettlement.ts;src/domain/commands/m6/PayPayrollRun.ts;src/lib/accounting/revaluation.ts;src/lib/accounting/seedCoa.ts;src/reports/index.ts;tests/unit/postSale.test.ts;scripts/seed-risk-demo-data.ts","Direct references found"
"FiscalPeriod","fiscal_periods","4","src/app/api/v1/fiscal-periods/route.ts;src/domain/commands/m4/PostJournalEntry.ts;src/lib/accounting/periodClose.ts;src/lib/reconciliation/checks.ts","Direct references found"
"JournalEntry","journal_entries","7","src/app/api/v1/journal-entries/route.ts;src/app/api/v1/journal-entries/[id]/route.ts;src/domain/commands/m4/PostJournalEntry.ts;src/lib/accounting/periodClose.ts;src/lib/reconciliation/checks.ts;src/reports/index.ts;tests/unit/journalEntry.test.ts","Direct references found"
"JournalLine","journal_lines","6","src/app/api/v1/reports/trial-balance/route.ts;src/domain/commands/m4/BankReconciliation.ts;src/domain/commands/m4/PostJournalEntry.ts;src/lib/reconciliation/checks.ts;src/reports/index.ts;tests/unit/journalEntry.test.ts","Direct references found"
"AccountingPolicy","accounting_policies","10","src/app/api/v1/accounting-policies/route.ts;src/app/api/v1/advances/route.ts;src/app/api/v1/payments/route.ts;src/domain/commands/m2/PostPurchaseReturn.ts;src/domain/commands/m3/Payments.ts;src/domain/commands/m3/PostSale.ts;src/domain/commands/m5/PostCourierCodSettlement.ts;src/domain/commands/m5/Service.ts;src/lib/accounting/seedCoa.ts;src/lib/reconciliation/checks.ts","Direct references found"
"ExpenseCategory","expense_categories","2","src/domain/commands/m4/PostExpense.ts;src/reports/index.ts","Direct references found"
"Expense","expenses","4","src/app/api/v1/expenses/route.ts;src/app/api/v1/expenses/[id]/approve/route.ts;src/app/api/v1/expenses/[id]/route.ts;src/domain/commands/m4/PostExpense.ts","Direct references found"
"ExpenseItem","expense_items","2","src/domain/commands/m4/PostExpense.ts;src/reports/index.ts","Direct references found"
"DeliveryOrder","delivery_orders","4","src/app/api/v1/deliveries/route.ts;src/app/api/v1/webhooks/courier/[provider]/route.ts;src/domain/commands/m5/Delivery.ts;src/reports/index.ts","Direct references found"
"DeliveryItem","delivery_items","1","src/domain/commands/m5/Delivery.ts","Direct references found"
"DeliveryEvent","delivery_events","1","src/domain/commands/m5/Delivery.ts","Direct references found"
"CourierShipment","courier_shipments","1","src/app/api/v1/webhooks/courier/[provider]/route.ts","Direct references found"
"CourierCodSettlement","courier_cod_settlements","2","src/app/api/v1/courier-settlements/route.ts;src/domain/commands/m5/PostCourierCodSettlement.ts","Direct references found"
"CourierCodSettlementItem","courier_cod_settlement_items","2","src/domain/commands/m5/PostCourierCodSettlement.ts;src/reports/index.ts","Direct references found"
"ServiceRequest","service_requests","5","src/app/api/v1/service-requests/route.ts;src/app/api/v1/warranty-claims/route.ts;src/domain/commands/m5/FulfillWarrantyClaim.ts;src/domain/commands/m5/Service.ts;src/domain/commands/m6/CompleteServiceRequest.ts","Direct references found"
"ServiceRequestPart","service_request_parts","1","src/domain/commands/m5/Service.ts","Direct references found"
"ServiceEvent","service_events","2","src/domain/commands/m5/Service.ts;src/domain/commands/m6/CompleteServiceRequest.ts","Direct references found"
"WarrantyClaim","warranty_claims","2","src/app/api/v1/warranty-claims/route.ts;src/domain/commands/m5/FulfillWarrantyClaim.ts","Direct references found"
"LeadSubject","lead_subjects","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"LeadSource","lead_sources","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"LeadStatus","lead_statuses","2","src/domain/commands/m6/ConvertLead.ts;tests/unit/m6CrmHr.test.ts","Direct references found"
"Lead","leads","4","src/app/api/v1/leads/route.ts;src/domain/commands/m6/ConvertLead.ts;src/lib/permissions/catalogue.ts;tests/unit/m6CrmHr.test.ts","Direct references found"
"LeadActivity","lead_activities","1","src/domain/commands/m6/ConvertLead.ts","Direct references found"
"GiftCard","gift_cards","4","src/app/api/v1/gift-cards/route.ts;src/domain/commands/m6/Loyalty.ts;src/lib/reconciliation/checks.ts;tests/unit/m6CrmHr.test.ts","Direct references found"
"Department","departments","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"Designation","designations","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"Employee","employees","4","src/app/api/v1/employees/route.ts;src/domain/commands/m6/PayPayrollRun.ts;src/domain/commands/m6/PostPayrollRun.ts;tests/unit/m6CrmHr.test.ts","Direct references found"
"PayrollRun","payroll_runs","3","src/app/api/v1/payroll-runs/route.ts;src/domain/commands/m6/PayPayrollRun.ts;src/domain/commands/m6/PostPayrollRun.ts","Direct references found"
"Notification","notifications","4","src/adapters/index.ts;src/app/api/v1/notifications/route.ts;src/app/api/v1/notifications/[id]/read/route.ts;src/domain/commands/m6/PostCommunicationCampaign.ts","Direct references found"
"OutboxEvent","outbox_events","2","src/lib/reconciliation/checks.ts;src/workers/outboxWorker.ts","Direct references found"
"WebhookEndpoint","webhook_endpoints","1","src/app/api/v1/webhook-endpoints/route.ts","Direct references found"
"WebhookDelivery","webhook_deliveries","1","src/workers/outboxWorker.ts","Direct references found"
"ImportJob","import_jobs","5","src/app/api/v1/import-jobs/route.ts;src/app/api/v1/import-jobs/[id]/commit/route.ts;src/app/api/v1/import-jobs/[id]/errors/route.ts;src/app/api/v1/import-jobs/[id]/route.ts;src/lib/import-export/importProcessor.ts","Direct references found"
"ImportJobError","import_job_errors","2","src/app/api/v1/import-jobs/[id]/errors/route.ts;src/lib/import-export/importProcessor.ts","Direct references found"
"OfflineCommand","offline_commands","1","src/app/api/v1/offline/sync/route.ts","Direct references found"
"OfflineSyncBatch","offline_sync_batches","1","src/app/api/v1/offline/sync/route.ts","Direct references found"
"AccountTransfer","account_transfers","1","src/app/api/v1/account-transfers/route.ts","Direct references found"
"CustomerAdvanceLedger","customer_advance_ledger","2","src/app/api/v1/advances/route.ts;src/lib/reconciliation/checks.ts","Direct references found"
"SupplierAdvanceLedger","supplier_advance_ledger","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"WithholdingTransaction","withholding_transactions","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"ExpenseItemTax","expense_item_taxes","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"ExpenseAttachment","expense_attachments","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"GiftCardTransaction","gift_card_transactions","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"Coupon","coupons","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"CouponRedemption","coupon_redemptions","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"RewardPointTransaction","reward_point_transactions","1","src/lib/reconciliation/checks.ts","Direct references found"
"RewardPointConsumption","reward_point_consumptions","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"Holiday","holidays","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"LeaveType","leave_types","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"LeaveRequest","leave_requests","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"PayrollComponent","payroll_components","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"PayrollItemComponent","payroll_item_components","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"AttendanceRecord","attendance_records","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"PayrollItem","payroll_items","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"CommunicationConsent","communication_consents","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"CommunicationCampaign","communication_campaigns","2","src/domain/commands/m6/PostCommunicationCampaign.ts;src/lib/communication/campaignProcessor.ts","Direct references found"
"CommunicationCampaignRecipient","communication_campaign_recipients","1","src/lib/communication/campaignProcessor.ts","Direct references found"
"OutboundMessage","outbound_messages","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"UserNotification","user_notifications","1","src/app/api/v1/notifications/[id]/read/route.ts","Direct references found"
"PrintJob","print_jobs","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"StockBudgetLease","stock_budget_leases","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"RiskAssessment","risk_assessments","5","src/adapters/riskProvider.ts;src/app/api/v1/admin/risk-assessments/report/route.ts;src/app/api/v1/admin/risk-assessments/route.ts;src/app/api/v1/admin/risk-assessments/[id]/outcome/route.ts;src/lib/risk/alerting.ts","Direct references found"
"DataSubjectRequest","data_subject_requests","2","src/app/api/v1/data-subject-requests/route.ts;src/app/api/v1/data-subject-requests/[id]/route.ts","Direct references found"
"LegalHold","legal_holds","2","src/app/api/v1/legal-holds/route.ts;src/app/api/v1/legal-holds/[id]/route.ts","Direct references found"
"RiskAssessmentOutcome","risk_assessment_outcomes","1","src/app/api/v1/admin/risk-assessments/[id]/outcome/route.ts","Direct references found"
"RiskThresholdChange","risk_threshold_changes","3","src/app/api/v1/admin/risk-assessments/report/route.ts;src/app/api/v1/admin/risk-threshold-changes/route.ts;src/app/api/v1/admin/risk-threshold-changes/[id]/revert/route.ts","Direct references found"
"CurrencyRevaluation","currency_revaluations","1","src/lib/accounting/revaluation.ts","Direct references found"
"FixedAsset","fixed_assets","4","src/app/api/v1/fixed-assets/route.ts;src/app/api/v1/fixed-assets/[id]/route.ts;src/domain/commands/m4/AssetManagement.ts;src/lib/reconciliation/checks.ts","Direct references found"
"FixedAssetCategory","fixed_asset_categories","2","src/app/api/v1/fixed-asset-categories/route.ts;src/domain/commands/m4/AssetManagement.ts","Direct references found"
"FixedAssetDepreciation","fixed_asset_depreciation","1","src/domain/commands/m4/AssetManagement.ts","Direct references found"
"BankReconciliation","bank_reconciliations","4","src/app/api/v1/bank-reconciliations/route.ts;src/app/api/v1/bank-reconciliations/[id]/route.ts;src/domain/commands/m4/BankReconciliation.ts;src/lib/reconciliation/checks.ts","Direct references found"
"BankReconciliationLine","bank_reconciliation_lines","1","src/domain/commands/m4/BankReconciliation.ts","Direct references found"
