"Model","Table","Relation","Target model","FK columns","Referenced columns","Schema onDelete","Schema onUpdate","Migration onDelete","Migration onUpdate","Migration file","Composite tenant FK"
"StockAdjustmentItemSerial","stock_adjustment_item_serials","stockAdjustmentItem","StockAdjustmentItem","stock_adjustment_item_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"StockAdjustmentItemSerial","stock_adjustment_item_serials","serial","ProductSerial","serial_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"Customer","customers","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Customer","customers","customerGroup","CustomerGroup","customer_group_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Customer","customers","preferredBranch","Branch","preferred_branch_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Supplier","suppliers","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Supplier","suppliers","currency","Currency","currency_code","code","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"Purchase","purchases","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Purchase","purchases","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Purchase","purchases","warehouse","Warehouse","warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Purchase","purchases","supplier","Supplier","supplier_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Purchase","purchases","currency","Currency","currency_code","code","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"PurchaseItem","purchase_items","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"PurchaseItem","purchase_items","purchase","Purchase","purchase_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseItem","purchase_items","product","Product","product_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseItemTax","purchase_item_taxes","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"PurchaseItemTax","purchase_item_taxes","purchaseItem","PurchaseItem","purchase_item_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseItemTax","purchase_item_taxes","taxComponent","TaxComponent","tax_component_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseReceiving","purchase_receivings","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"PurchaseReceiving","purchase_receivings","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseReceiving","purchase_receivings","warehouse","Warehouse","warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseReceiving","purchase_receivings","purchase","Purchase","purchase_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseReceivingItem","purchase_receiving_items","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"PurchaseReceivingItem","purchase_receiving_items","purchaseReceiving","PurchaseReceiving","purchase_receiving_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseReceivingItem","purchase_receiving_items","purchaseItem","PurchaseItem","purchase_item_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseReceivingItemSerial","purchase_receiving_item_serials","purchaseReceivingItem","PurchaseReceivingItem","purchase_receiving_item_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"PurchaseReceivingItemSerial","purchase_receiving_item_serials","serial","ProductSerial","serial_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"LandedCostDocument","landed_cost_documents","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"LandedCostDocument","landed_cost_documents","purchase","Purchase","purchase_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"LandedCostDocument","landed_cost_documents","supplier","Supplier","supplier_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"LandedCostDocument","landed_cost_documents","currency","Currency","currency_code","code","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"LandedCostAllocation","landed_cost_allocations","landedCostDocument","LandedCostDocument","landed_cost_document_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"LandedCostAllocation","landed_cost_allocations","purchaseItem","PurchaseItem","purchase_item_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"PurchaseReturn","purchase_returns","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"PurchaseReturn","purchase_returns","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseReturn","purchase_returns","warehouse","Warehouse","warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseReturn","purchase_returns","purchase","Purchase","purchase_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseReturn","purchase_returns","supplier","Supplier","supplier_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseReturnItem","purchase_return_items","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"PurchaseReturnItem","purchase_return_items","purchaseReturn","PurchaseReturn","purchase_return_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseReturnItem","purchase_return_items","purchaseItem","PurchaseItem","purchase_item_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PurchaseReturnItemSerial","purchase_return_item_serials","purchaseReturnItem","PurchaseReturnItem","purchase_return_item_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"PurchaseReturnItemSerial","purchase_return_item_serials","serial","ProductSerial","serial_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"Transfer","transfers","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Transfer","transfers","fromWarehouse","Warehouse","from_warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Transfer","transfers","toWarehouse","Warehouse","to_warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"TransferItem","transfer_items","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"TransferItem","transfer_items","transfer","Transfer","transfer_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"TransferItem","transfer_items","product","Product","product_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"TransferItem","transfer_items","reservation","StockReservation","reservation_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"TransferItemSerial","transfer_item_serials","transferItem","TransferItem","transfer_item_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"TransferItemSerial","transfer_item_serials","serial","ProductSerial","serial_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"Quotation","quotations","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Quotation","quotations","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Quotation","quotations","customer","Customer","customer_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Quotation","quotations","currency","Currency","currency_code","code","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"QuotationItem","quotation_items","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"QuotationItem","quotation_items","quotation","Quotation","quotation_id","id","Cascade","implicit","CASCADE","CASCADE","20260831180000_initial/migration.sql","present"
"QuotationItem","quotation_items","product","Product","product_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Sale","sales","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Sale","sales","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Sale","sales","warehouse","Warehouse","warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Sale","sales","customer","Customer","customer_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Sale","sales","currency","Currency","currency_code","code","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"Sale","sales","biller","User","biller_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Sale","sales","cashierShift","CashierShift","cashier_shift_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Sale","sales","voidedByUser","User","voided_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Sale","sales","convertedFromQuotation","Quotation","quotation_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"SaleItem","sale_items","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"SaleItem","sale_items","sale","Sale","sale_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SaleItem","sale_items","product","Product","product_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SaleItemSerial","sale_item_serials","saleItem","SaleItem","sale_item_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"SaleItemSerial","sale_item_serials","serial","ProductSerial","serial_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"SaleItemTax","sale_item_taxes","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"SaleItemTax","sale_item_taxes","saleItem","SaleItem","sale_item_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SaleItemTax","sale_item_taxes","taxComponent","TaxComponent","tax_component_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SaleReturn","sale_returns","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"SaleReturn","sale_returns","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SaleReturn","sale_returns","warehouse","Warehouse","warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SaleReturn","sale_returns","sale","Sale","sale_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SaleReturn","sale_returns","approver","User","approved_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"SaleReturn","sale_returns","creator","User","created_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SaleReturnItem","sale_return_items","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"SaleReturnItem","sale_return_items","saleReturn","SaleReturn","sale_return_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SaleReturnItem","sale_return_items","saleItem","SaleItem","sale_item_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SaleReturnItemSerial","sale_return_item_serials","saleReturnItem","SaleReturnItem","sale_return_item_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"SaleReturnItemSerial","sale_return_item_serials","serial","ProductSerial","serial_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"CashierShift","cashier_shifts","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"CashierShift","cashier_shifts","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"CashierShift","cashier_shifts","warehouse","Warehouse","warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"CashierShift","cashier_shifts","cashier","User","cashier_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"CashierShift","cashier_shifts","approver","User","approved_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"CashierShift","cashier_shifts","cashAccount","FinancialAccount","cash_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"CashDrawerCount","cash_drawer_counts","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"CashDrawerCount","cash_drawer_counts","cashierShift","CashierShift","cashier_shift_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"CashDrawerCount","cash_drawer_counts","counter","User","counted_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Payment","payments","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Payment","payments","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Payment","payments","customer","Customer","customer_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Payment","payments","supplier","Supplier","supplier_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Payment","payments","saleReturn","SaleReturn","sale_return_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Payment","payments","cashierShift","CashierShift","cashier_shift_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Payment","payments","financialAccount","FinancialAccount","financial_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Payment","payments","currency","Currency","currency_code","code","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"Payment","payments","reversedPayment","Payment","reversed_payment_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Payment","payments","creator","User","created_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PaymentAllocation","payment_allocations","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"PaymentAllocation","payment_allocations","payment","Payment","payment_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PaymentAllocation","payment_allocations","businessEvent","BusinessEvent","event_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PaymentAllocation","payment_allocations","sale","Sale","sale_id","id","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","present"
"PaymentAllocation","payment_allocations","purchase","Purchase","purchase_id","id","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","present"
"PaymentAllocation","payment_allocations","creator","User","created_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ReturnRefundAllocation","return_refund_allocations","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ReturnRefundAllocation","return_refund_allocations","payment","Payment","payment_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ReturnRefundAllocation","return_refund_allocations","saleReturn","SaleReturn","sale_return_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Installment","installments","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Installment","installments","sale","Sale","sale_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"InstallmentAllocation","installment_allocations","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"InstallmentAllocation","installment_allocations","installment","Installment","installment_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"InstallmentAllocation","installment_allocations","paymentAllocation","PaymentAllocation","payment_allocation_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ChartOfAccount","chart_of_accounts","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ChartOfAccount","chart_of_accounts","parent","ChartOfAccount","parent_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"FinancialAccount","financial_accounts","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"FinancialAccount","financial_accounts","branch","Branch","branch_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"FinancialAccount","financial_accounts","chartOfAccount","ChartOfAccount","chart_of_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"FinancialAccount","financial_accounts","currency","Currency","currency_code","code","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"FiscalPeriod","fiscal_periods","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"FiscalPeriod","fiscal_periods","locker","User","locked_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"JournalEntry","journal_entries","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"JournalEntry","journal_entries","businessEvent","BusinessEvent","event_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"JournalEntry","journal_entries","currency","Currency","currency_code","code","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"JournalEntry","journal_entries","reversalOf","JournalEntry","reversal_of_entry_id","id","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","present"
"JournalEntry","journal_entries","creator","User","created_by","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"JournalEntry","journal_entries","poster","User","posted_by","id","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","present"
"JournalLine","journal_lines","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"JournalLine","journal_lines","journalEntry","JournalEntry","journal_entry_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"JournalLine","journal_lines","branch","Branch","branch_id","id","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","present"
"JournalLine","journal_lines","chartOfAccount","ChartOfAccount","chart_of_account_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"JournalLine","journal_lines","financialAccount","FinancialAccount","financial_account_id","id","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","present"
"JournalLine","journal_lines","customer","Customer","customer_id","id","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","present"
"JournalLine","journal_lines","supplier","Supplier","supplier_id","id","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","present"
"JournalLine","journal_lines","product","Product","product_id","id","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","present"
"JournalLine","journal_lines","currency","Currency","currency_code","code","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","N/A"
"AccountingPolicy","accounting_policies","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"AccountingPolicy","accounting_policies","inventoryAccount","ChartOfAccount","inventory_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"AccountingPolicy","accounting_policies","cogsAccount","ChartOfAccount","cogs_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"AccountingPolicy","accounting_policies","salesRevenueAccount","ChartOfAccount","sales_revenue_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"AccountingPolicy","accounting_policies","arAccount","ChartOfAccount","ar_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"AccountingPolicy","accounting_policies","apAccount","ChartOfAccount","ap_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"AccountingPolicy","accounting_policies","customerAdvanceAccount","ChartOfAccount","customer_advance_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"AccountingPolicy","accounting_policies","supplierAdvanceAccount","ChartOfAccount","supplier_advance_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"AccountingPolicy","accounting_policies","purchaseVarianceAccount","ChartOfAccount","purchase_variance_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"AccountingPolicy","accounting_policies","giftCardLiabilityAccount","ChartOfAccount","gift_card_liability_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ExpenseCategory","expense_categories","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ExpenseCategory","expense_categories","expenseAccount","ChartOfAccount","expense_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Expense","expenses","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Expense","expenses","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Expense","expenses","supplier","Supplier","supplier_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Expense","expenses","currency","Currency","currency_code","code","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"Expense","expenses","requester","User","requested_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Expense","expenses","approver","User","approved_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Expense","expenses","journalEntry","JournalEntry","journal_entry_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"ExpenseItem","expense_items","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ExpenseItem","expense_items","expense","Expense","expense_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ExpenseItem","expense_items","expenseCategory","ExpenseCategory","expense_category_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"DeliveryOrder","delivery_orders","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"DeliveryOrder","delivery_orders","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"DeliveryOrder","delivery_orders","sale","Sale","sale_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"DeliveryOrder","delivery_orders","assignedUser","User","assigned_user_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"DeliveryOrder","delivery_orders","creator","User","created_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"DeliveryItem","delivery_items","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"DeliveryItem","delivery_items","deliveryOrder","DeliveryOrder","delivery_order_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"DeliveryItem","delivery_items","saleItem","SaleItem","sale_item_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"DeliveryEvent","delivery_events","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"DeliveryEvent","delivery_events","deliveryOrder","DeliveryOrder","delivery_order_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"DeliveryEvent","delivery_events","creator","User","created_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"CourierShipment","courier_shipments","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"CourierShipment","courier_shipments","deliveryOrder","DeliveryOrder","delivery_order_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"CourierCodSettlement","courier_cod_settlements","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"CourierCodSettlement","courier_cod_settlements","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"CourierCodSettlement","courier_cod_settlements","financialAccount","FinancialAccount","financial_account_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"CourierCodSettlement","courier_cod_settlements","journalEntry","JournalEntry","journal_entry_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"CourierCodSettlement","courier_cod_settlements","creator","User","created_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"CourierCodSettlementItem","courier_cod_settlement_items","settlement","CourierCodSettlement","settlement_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"CourierCodSettlementItem","courier_cod_settlement_items","deliveryOrder","DeliveryOrder","delivery_order_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"ServiceRequest","service_requests","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ServiceRequest","service_requests","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ServiceRequest","service_requests","repairWarehouse","Warehouse","repair_warehouse_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"ServiceRequest","service_requests","customer","Customer","customer_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
